STT	Từ vựng	Nghĩa
830	도예가	Nghệ nhân làm gốm
831	연예인	Nghệ sĩ
832	어부 	Ngư dân
833	진행자	Người dẫn chương trình
834	문지기 	Người gác cổng
836	가정부, 집사	Người giúp việc
837	택시 기사	Người lái taxi
838	노동자	Người lao động
839	성우	Người lồng tiếng
840	모델	Người mẫu
841	통역사	Người thông dịch
842	문학가 	Nhà văn
843	작곡가	Nhạc sĩ
844	악단장	Nhạc trưởng
845	판매원	Nhân viên bán hàng
846	경비원 	Nhân viên bảo vệ
847	우체국사무원	Nhân viên bưu điện
848	공무원	Nhân viên công chức
849	회사원	Nhân viên công ty
850	여행사직원 	Nhân viên công ty du lịch
851	배달원	Nhân viên chuyển hàng
852	기상요원	Nhân viên dự báo thời tiết
853	회계원	Nhân viên kế toán
854	부동산중개인	Nhân viên môi giới bất động sản
855	은행원	Nhân viên ngân hàng
856	접수원 	Nhân viên tiếp tân
857	상담원	Nhân viên tư vấn
858	사진작가	Nhiếp ảnh gia
859	아나운서	Phát thanh viên
860	비행기조종사	Phi công
861	부장	Phó giám đốc
862	기자	Phóng viên, nhà báo
863	공장장	Quản đốc
864	파출부	Quản gia
865	대학생	Sinh viên
866	작가	Tác giả
867	운전사 	Tài xế
868	박사	Tiến sĩ
869	회장	Tổng giám đốc
870	대통령	Tổng thống
871	연수생	Tu nghiệp sinh
872	석사	Thạc sĩ
873	국회회원 	Thành viên quốc hội
874	이발사	Thợ cắt tóc
875	기계공	Thợ cơ khí
876	꽃장수	Thợ chăm sóc hoa
877	사진사	Thợ chụp ảnh
878	전기기사	Thợ điện
879	용접공	Thợ hàn
880	인쇄공	Thợ in
881	보석상인	Thợ kim hoàn
882	안경사	Thợ kính mắt
883	제빵사	Thợ làm bánh
884	미용사	Thợ làm tóc, vẽ móng tay…
885	원예가	Thợ làm vườn
886	재단사	Thợ may
887	갱내부	Thợ mỏ
888	목수	Thợ mộc
889	철근공 	Thợ sắt
890	페인트공	Thợ sơn
891	수리자	Thợ sửa chữa
892	정비사 	Thợ sửa máy
893	배관공	Thợ sửa ống nước
894	선반공	Thợ tiện
895	총리	Thủ tướng
896	선장	Thuyền trưởng
897	비서	Thư kí
898	팀장	Trưởng nhóm
899	간호사	Y tá
900	기사	Kỹ sư
901	라이스 퍼이퍼	Bánh tráng cuốn
902	새우 크래커	Bánh phồng tôm
903	크루아상	Bánh sừng bò
904	비스킷	Bánh bích quy
905	샌드위치	Bánh sandwich
906	월병	Bánh trung thu
907	케이크, 양과자	Bánh ngọt
908	핫케이크	Bánh nướng
909	구운빵	Bánh mì lát nướng
910	머핀	Bánh nướng xốp
911	빵	Bánh mì
912	팬케이크	Bánh xèo
913	만두	Bánh bao
914	찜빵	Bánh hấp
915	스펀지 케이크	Bánh bò
916	이탈리아식 국수	Mì ý
917	국수	Hủ tiếu, phở
918	버미첼리	Miến
919	라면	Mì gói
920	볶음 국수	Mì xào
921	스파게티	Mì Spaghetti
922	죽	Cháo
923	밥	Cơm
924	볶음 밥	Cơm chiên
925	그제/ 그저께	Hôm kia
926	생선회	Gỏi cá
927	뻥튀기	Bánh gạo
928	미역	Canh rong biển
929	녹차	Trà xanh
930	꼬리곰탕	Canh đuôi bò
931	한식	Món Hàn Quốc
932	김치	Kim chi
933	깍두기	Kim chi củ cải
934	김치찌개	Canh kim chi
935	김밥	Cơm cuộn rong biển
936	된장찌개	Canh tương
937	콩나물국	Canh giá đỗ
938	순두부찌개	Canh đậu hũ non
939	삼계탕	Gà hầm sâm
940	잡채	Miến trộn
941	비빔밥	Cơm trộn
942	불고기	Thịt nướng
943	삼겹살	Ba chỉ nướng
944	자장면	Mì đen
945	냉면	Mì lạnh
946	우동	Mì u-don
947	떡	Bánh gạo
948	김	Rong biển
949	쌀국수	Bún
950	은백색	Màu sáng chói
951	빨간색/붉은색	Màu đỏ
952	심홍색	Đỏ tươi
953	주홍색	Đỏ chói
954	검정색/까만색	Màu đen
955	하얀색/흰색	Màu trắng
956	노란색/황색	Màu vàng
957	주황색/오렌지색	Màu da cam
958	암녹색	Màu xanh lá cây
959	초록색/녹색	Màu xanh lá
960	분홍색	Màu hồng
961	장밋빛	Hồng nhạt
962	청록색	Màu lam
963	갈색/밤색	Màu nâu
964	보라색	Màu tím
965	회색	Màu xám
966	파란색/청색/ 푸른색	Xanh nước biển
967	은색	Màu bạc
968	금색	Màu vàng
969	색깔이 진하다	Màu đậm
970	색깔이 연하다	Màu nhạt
971	색깔이 어둡다	Màu tối
972	색깔이 밝다	Màu sáng
973	시간	Thời gian
974	월요일	Thứ 2
975	화요일	Thứ 3
976	수요일	Thứ 4
977	목요일	Thứ 5
978	금요일	Thứ 6
979	토요일	Thứ 7
980	일요일	Chủ nhật
981	이번주	Tuần này
982	지난주	Tuần trước
983	다음주	Tuần sau
984	주말	Cuối tuần
985	이번달	Tháng này
986	다음달	Tháng sau
987	지난달	Tháng trước
988	아침	Buổi sáng, bữa sáng
989	점심	Buổi trưa, bữa trưa
990	저녁	Buổi tối, bữa tối
991	오전	Buổi sáng
992	오후	Buổi chiều
993	낮	Ban ngày
994	새벽	Sáng sớm, mờ sáng
995	밤	Đêm
996	오늘	Hôm nay
997	내일	Ngày mai
998	모레	Ngày kia
999	글피	Ngày kìa
1000	어제	Hôm qua
